Rank,Title,Platform(s),Developer(s),Publisher(s),Ref.,Releaseyear,Sales(millions),Series,Table_Number
27,Wii Sports Resort,Wii,Nintendo EAD,Nintendo,[l],2009,33.14,Wii,1
28,New Super Mario Bros.,Nintendo DS,Nintendo EAD,Nintendo,[#],2006,30.8,Super Mario,1
29,New Super Mario Bros. Wii,Wii,Nintendo EAD,Nintendo,[#],2009,30.32,Super Mario,1
30,Super Mario Odyssey,Nintendo Switch,Nintendo EPD,Nintendo,[#],2017,30.27,Super Mario,1
31,Pokémon Gold/Silver/Crystal,Game Boy Color,Game Freak,Nintendo,[m],1999,30.12,Pokémon,1
32,Elden Ring,Multi-platform,FromSoftware,Bandai Namco,[#],2022,30.0,Elden Ring,1
33,Borderlands,Multi-platform,2K Games,Gearbox Software,[#],2012,30.0,Borderlands 2,1
34,Call of Duty,Multi-platform,Activision,Treyarch/Raven Software,[#],2020,30.0,Call of Duty: Black Ops Cold War,1
35,The Elder Scrolls,Multi-platform,Bethesda Softworks,Bethesda Game Studios,[#],2011,30.0,The Elder Scrolls V: Skyrim,1
36,Monster Hunter: World,Multi-platform,Capcom,Capcom,[n],2018,29.1,Monster Hunter,1
37,Duck Hunt,Famicom / NES,Nintendo R&D1,Nintendo,[o],1984,28.3,Duck Hunt,1
38,Pokémon Scarlet/Violet,Nintendo Switch,Game Freak,Nintendo/The Pokémon Company,[#],2022,28.08,Pokémon,1
39,Wii Play,Wii,Nintendo EAD,Nintendo,[p],2006,28.02,Wii,1
40,Black Myth: Wukong,Multi-platform,Game Science,Game Science,[#],2024,28.0,Black Myth,1
41,Grand Theft Auto: San Andreas,Multi-platform,Rockstar North,Rockstar Games,[#],2004,27.5,Grand Theft Auto,1
42,Pokémon Sword/Shield,Nintendo Switch,Game Freak,Nintendo/The Pokémon Company,[#],2019,27.08,Pokémon,1
43,It Takes Two,Multi-platform,Hazelight Studios,Electronic Arts,[#],2021,27.0,It Takes Two,1
44,The Last of Us/Remastered,PS3/PS4,Naughty Dog,Sony Computer Entertainment,[q],2013,26.6,The Last of Us,1
45,Call of Duty: Modern Warfare 3,Multi-platform,Infinity Ward/Sledgehammer,Activision,[#],2011,26.5,Call of Duty,1
46,Call of Duty: Black Ops,Multi-platform,Treyarch,Activision,[#],2010,26.2,Call of Duty,1
47,Marvel's Spider-Man/Remastered,Multi-Platform,Insomniac Games,Sony Interactive Entertainment,[r],2018,26.1,Marvel's Spider-Man,1
48,Pokémon Sun/Moon/Ultra Sun/Ultra Moon,Nintendo 3DS,Game Freak,Nintendo/The Pokémon Company,[s],2016,25.59,Pokémon,1
49,Garry's Mod,PC,Facepunch Studios,Valve,[#],2006,25.56,Garry's Mod,1
50,Pokémon Diamond/Pearl/Platinum,Nintendo DS,Game Freak,Nintendo/The Pokémon Company,[t],2006,25.5,Pokémon,1
